Task_ID,Task_Category,Model,Model_Size,Quality_Score,Latency_sec,Energy_kWh,CO2_kg,Cost_EUR,Notes
1,Factual,LLaMA 3.1 8B,Small,,,,,,
1,Factual,Gemma 8B,Small,,,,,,
1,Factual,Mistral Small,Medium,,,,,,
1,Factual,GPT-OSS 20B,Medium,,,,,,
1,Factual,GPT-5,Large,,,,,,
1,Factual,DeepSeek R1,Large,,,,,,
2,Factual,LLaMA 3.1 8B,Small,,,,,,
2,Factual,Gemma 8B,Small,,,,,,
2,Factual,Mistral Small,Medium,,,,,,
2,Factual,GPT-OSS 20B,Medium,,,,,,
2,Factual,GPT-5,Large,,,,,,
2,Factual,DeepSeek R1,Large,,,,,,
3,Factual,LLaMA 3.1 8B,Small,,,,,,
3,Factual,Gemma 8B,Small,,,,,,
3,Factual,Mistral Small,Medium,,,,,,
3,Factual,GPT-OSS 20B,Medium,,,,,,
3,Factual,GPT-5,Large,,,,,,
3,Factual,DeepSeek R1,Large,,,,,,
4,Factual,LLaMA 3.1 8B,Small,,,,,,
4,Factual,Gemma 8B,Small,,,,,,
4,Factual,Mistral Small,Medium,,,,,,
4,Factual,GPT-OSS 20B,Medium,,,,,,
4,Factual,GPT-5,Large,,,,,,
4,Factual,DeepSeek R1,Large,,,,,,
5,Factual,LLaMA 3.1 8B,Small,,,,,,
5,Factual,Gemma 8B,Small,,,,,,
5,Factual,Mistral Small,Medium,,,,,,
5,Factual,GPT-OSS 20B,Medium,,,,,,
5,Factual,GPT-5,Large,,,,,,
5,Factual,DeepSeek R1,Large,,,,,,
6,Factual,LLaMA 3.1 8B,Small,,,,,,
6,Factual,Gemma 8B,Small,,,,,,
6,Factual,Mistral Small,Medium,,,,,,
6,Factual,GPT-OSS 20B,Medium,,,,,,
6,Factual,GPT-5,Large,,,,,,
6,Factual,DeepSeek R1,Large,,,,,,
7,Factual,LLaMA 3.1 8B,Small,,,,,,
7,Factual,Gemma 8B,Small,,,,,,
7,Factual,Mistral Small,Medium,,,,,,
7,Factual,GPT-OSS 20B,Medium,,,,,,
7,Factual,GPT-5,Large,,,,,,
7,Factual,DeepSeek R1,Large,,,,,,
8,Factual,LLaMA 3.1 8B,Small,,,,,,
8,Factual,Gemma 8B,Small,,,,,,
8,Factual,Mistral Small,Medium,,,,,,
8,Factual,GPT-OSS 20B,Medium,,,,,,
8,Factual,GPT-5,Large,,,,,,
8,Factual,DeepSeek R1,Large,,,,,,
9,Factual,LLaMA 3.1 8B,Small,,,,,,
9,Factual,Gemma 8B,Small,,,,,,
9,Factual,Mistral Small,Medium,,,,,,
9,Factual,GPT-OSS 20B,Medium,,,,,,
9,Factual,GPT-5,Large,,,,,,
9,Factual,DeepSeek R1,Large,,,,,,
10,Factual,LLaMA 3.1 8B,Small,,,,,,
10,Factual,Gemma 8B,Small,,,,,,
10,Factual,Mistral Small,Medium,,,,,,
10,Factual,GPT-OSS 20B,Medium,,,,,,
10,Factual,GPT-5,Large,,,,,,
10,Factual,DeepSeek R1,Large,,,,,,
11,Reasoning,LLaMA 3.1 8B,Small,,,,,,
11,Reasoning,Gemma 8B,Small,,,,,,
11,Reasoning,Mistral Small,Medium,,,,,,
11,Reasoning,GPT-OSS 20B,Medium,,,,,,
11,Reasoning,GPT-5,Large,,,,,,
11,Reasoning,DeepSeek R1,Large,,,,,,
12,Reasoning,LLaMA 3.1 8B,Small,,,,,,
12,Reasoning,Gemma 8B,Small,,,,,,
12,Reasoning,Mistral Small,Medium,,,,,,
12,Reasoning,GPT-OSS 20B,Medium,,,,,,
12,Reasoning,GPT-5,Large,,,,,,
12,Reasoning,DeepSeek R1,Large,,,,,,
13,Reasoning,LLaMA 3.1 8B,Small,,,,,,
13,Reasoning,Gemma 8B,Small,,,,,,
13,Reasoning,Mistral Small,Medium,,,,,,
13,Reasoning,GPT-OSS 20B,Medium,,,,,,
13,Reasoning,GPT-5,Large,,,,,,
13,Reasoning,DeepSeek R1,Large,,,,,,
14,Reasoning,LLaMA 3.1 8B,Small,,,,,,
14,Reasoning,Gemma 8B,Small,,,,,,
14,Reasoning,Mistral Small,Medium,,,,,,
14,Reasoning,GPT-OSS 20B,Medium,,,,,,
14,Reasoning,GPT-5,Large,,,,,,
14,Reasoning,DeepSeek R1,Large,,,,,,
15,Reasoning,LLaMA 3.1 8B,Small,,,,,,
15,Reasoning,Gemma 8B,Small,,,,,,
15,Reasoning,Mistral Small,Medium,,,,,,
15,Reasoning,GPT-OSS 20B,Medium,,,,,,
15,Reasoning,GPT-5,Large,,,,,,
15,Reasoning,DeepSeek R1,Large,,,,,,
16,Programming,LLaMA 3.1 8B,Small,,,,,,
16,Programming,Gemma 8B,Small,,,,,,
16,Programming,Mistral Small,Medium,,,,,,
16,Programming,GPT-OSS 20B,Medium,,,,,,
16,Programming,GPT-5,Large,,,,,,
16,Programming,DeepSeek R1,Large,,,,,,
17,Programming,LLaMA 3.1 8B,Small,,,,,,
17,Programming,Gemma 8B,Small,,,,,,
17,Programming,Mistral Small,Medium,,,,,,
17,Programming,GPT-OSS 20B,Medium,,,,,,
17,Programming,GPT-5,Large,,,,,,
17,Programming,DeepSeek R1,Large,,,,,,
18,Programming,LLaMA 3.1 8B,Small,,,,,,
18,Programming,Gemma 8B,Small,,,,,,
18,Programming,Mistral Small,Medium,,,,,,
18,Programming,GPT-OSS 20B,Medium,,,,,,
18,Programming,GPT-5,Large,,,,,,
18,Programming,DeepSeek R1,Large,,,,,,
19,Programming,LLaMA 3.1 8B,Small,,,,,,
19,Programming,Gemma 8B,Small,,,,,,
19,Programming,Mistral Small,Medium,,,,,,
19,Programming,GPT-OSS 20B,Medium,,,,,,
19,Programming,GPT-5,Large,,,,,,
19,Programming,DeepSeek R1,Large,,,,,,
20,Programming,LLaMA 3.1 8B,Small,,,,,,
20,Programming,Gemma 8B,Small,,,,,,
20,Programming,Mistral Small,Medium,,,,,,
20,Programming,GPT-OSS 20B,Medium,,,,,,
20,Programming,GPT-5,Large,,,,,,
20,Programming,DeepSeek R1,Large,,,,,,
21,Knowledge,LLaMA 3.1 8B,Small,,,,,,
21,Knowledge,Gemma 8B,Small,,,,,,
21,Knowledge,Mistral Small,Medium,,,,,,
21,Knowledge,GPT-OSS 20B,Medium,,,,,,
21,Knowledge,GPT-5,Large,,,,,,
21,Knowledge,DeepSeek R1,Large,,,,,,
22,Knowledge,LLaMA 3.1 8B,Small,,,,,,
22,Knowledge,Gemma 8B,Small,,,,,,
22,Knowledge,Mistral Small,Medium,,,,,,
22,Knowledge,GPT-OSS 20B,Medium,,,,,,
22,Knowledge,GPT-5,Large,,,,,,
22,Knowledge,DeepSeek R1,Large,,,,,,
23,Knowledge,LLaMA 3.1 8B,Small,,,,,,
23,Knowledge,Gemma 8B,Small,,,,,,
23,Knowledge,Mistral Small,Medium,,,,,,
23,Knowledge,GPT-OSS 20B,Medium,,,,,,
23,Knowledge,GPT-5,Large,,,,,,
23,Knowledge,DeepSeek R1,Large,,,,,,
24,Knowledge,LLaMA 3.1 8B,Small,,,,,,
24,Knowledge,Gemma 8B,Small,,,,,,
24,Knowledge,Mistral Small,Medium,,,,,,
24,Knowledge,GPT-OSS 20B,Medium,,,,,,
24,Knowledge,GPT-5,Large,,,,,,
24,Knowledge,DeepSeek R1,Large,,,,,,
25,Knowledge,LLaMA 3.1 8B,Small,,,,,,
25,Knowledge,Gemma 8B,Small,,,,,,
25,Knowledge,Mistral Small,Medium,,,,,,
25,Knowledge,GPT-OSS 20B,Medium,,,,,,
25,Knowledge,GPT-5,Large,,,,,,
25,Knowledge,DeepSeek R1,Large,,,,,,
26,Advanced,LLaMA 3.1 8B,Small,,,,,,
26,Advanced,Gemma 8B,Small,,,,,,
26,Advanced,Mistral Small,Medium,,,,,,
26,Advanced,GPT-OSS 20B,Medium,,,,,,
26,Advanced,GPT-5,Large,,,,,,
26,Advanced,DeepSeek R1,Large,,,,,,
27,Advanced,LLaMA 3.1 8B,Small,,,,,,
27,Advanced,Gemma 8B,Small,,,,,,
27,Advanced,Mistral Small,Medium,,,,,,
27,Advanced,GPT-OSS 20B,Medium,,,,,,
27,Advanced,GPT-5,Large,,,,,,
27,Advanced,DeepSeek R1,Large,,,,,,
28,Advanced,LLaMA 3.1 8B,Small,,,,,,
28,Advanced,Gemma 8B,Small,,,,,,
28,Advanced,Mistral Small,Medium,,,,,,
28,Advanced,GPT-OSS 20B,Medium,,,,,,
28,Advanced,GPT-5,Large,,,,,,
28,Advanced,DeepSeek R1,Large,,,,,,
29,Advanced,LLaMA 3.1 8B,Small,,,,,,
29,Advanced,Gemma 8B,Small,,,,,,
29,Advanced,Mistral Small,Medium,,,,,,
29,Advanced,GPT-OSS 20B,Medium,,,,,,
29,Advanced,GPT-5,Large,,,,,,
29,Advanced,DeepSeek R1,Large,,,,,,
30,Advanced,LLaMA 3.1 8B,Small,,,,,,
30,Advanced,Gemma 8B,Small,,,,,,
30,Advanced,Mistral Small,Medium,,,,,,
30,Advanced,GPT-OSS 20B,Medium,,,,,,
30,Advanced,GPT-5,Large,,,,,,
30,Advanced,DeepSeek R1,Large,,,,,,
